Customer_ID,Age,Region,Plan,Contract_Type,Payment_Method,Tenure_Months,Monthly_Fee,Discount_Pct,Support_Tickets,Late_Payments,Usage_Hours_Monthly,Satisfaction_Score,Churn,Annual_Value
CUST10001,56,South,Standard,Annual,UPI,24,899.0,10,1,2,14.5,4.1,0,9709.2
CUST10002,46,West,Standard,Annual,Net Banking,13,799.0,5,3,1,14.6,3.8,0,9108.6
CUST10003,32,East,Basic,Annual,Net Banking,26,499.0,15,0,0,26.6,5.0,0,5089.8
CUST10004,60,West,Basic,Monthly,Credit Card,29,549.0,5,4,0,28.9,5.0,0,6258.599999999999
CUST10005,25,West,Standard,Quarterly,Net Banking,43,799.0,0,2,0,35.6,3.1,0,9588.0
CUST10006,38,West,Standard,Monthly,UPI,28,799.0,5,1,2,16.4,4.4,0,9108.6
CUST10007,56,North,Basic,Monthly,UPI,28,599.0,10,1,0,24.7,5.0,0,6469.2
CUST10008,36,East,Standard,Annual,Net Banking,8,799.0,10,3,0,16.8,4.4,0,8629.2
CUST10009,40,East,Basic,Monthly,UPI,23,599.0,5,2,1,22.2,4.1,0,6828.599999999999
CUST10010,28,West,Standard,Quarterly,UPI,29,799.0,15,1,2,10.2,1.9,0,8149.8
CUST10011,28,North,Basic,Annual,Credit Card,5,549.0,0,2,0,13.0,3.0,0,6588.0
CUST10012,41,North,Premium,Annual,Net Banking,42,1249.0,5,1,0,28.4,3.1,0,14238.599999999999
CUST10013,53,East,Basic,Annual,UPI,7,499.0,15,2,0,10.1,4.7,0,5089.8
CUST10014,57,North,Basic,Monthly,Net Banking,42,599.0,15,3,2,26.9,2.8,0,6109.8
CUST10015,41,North,Basic,Monthly,Credit Card,36,499.0,10,2,0,16.6,3.4,0,5389.2
CUST10016,20,North,Basic,Monthly,Net Banking,41,599.0,15,1,0,6.6,4.3,0,6109.8
CUST10017,39,South,Premium,Monthly,UPI,27,1249.0,0,0,0,2.0,2.8,0,14988.0
CUST10018,19,West,Premium,Monthly,Net Banking,46,1199.0,15,0,1,33.7,3.8,0,12229.8
CUST10019,41,East,Basic,Monthly,UPI,2,599.0,5,1,0,6.8,3.6,0,6828.599999999999
CUST10020,47,East,Standard,Quarterly,UPI,25,799.0,0,2,2,21.5,4.3,0,9588.0
CUST10021,55,South,Standard,Quarterly,UPI,9,849.0,0,2,1,24.8,4.1,0,10188.0
CUST10022,19,West,Premium,Monthly,Credit Card,27,1199.0,5,2,3,11.5,4.1,0,13668.599999999999
CUST10023,38,East,Standard,Quarterly,Net Banking,1,899.0,0,1,0,17.6,3.7,0,10788.0
CUST10024,50,North,Standard,Monthly,Credit Card,23,849.0,5,1,0,25.8,2.0,0,9678.6
CUST10025,29,East,Standard,Monthly,Net Banking,10,799.0,0,2,0,24.3,3.6,0,9588.0
CUST10026,39,North,Standard,Quarterly,Credit Card,42,849.0,0,0,2,18.3,3.5,0,10188.0
CUST10027,42,South,Basic,Quarterly,Debit Card,25,499.0,5,1,0,23.9,4.2,0,5688.599999999999
CUST10028,44,North,Standard,Quarterly,UPI,3,799.0,5,3,0,21.2,3.1,1,9108.6
CUST10029,59,East,Basic,Monthly,UPI,6,499.0,5,0,0,14.2,3.5,0,5688.599999999999
CUST10030,45,East,Standard,Annual,Credit Card,6,799.0,10,0,0,31.6,3.6,0,8629.2
CUST10031,33,East,Basic,Quarterly,Debit Card,2,499.0,15,1,0,23.7,2.9,0,5089.8
CUST10032,32,South,Standard,Quarterly,UPI,18,799.0,10,1,1,7.3,2.5,0,8629.2
CUST10033,20,South,Standard,Quarterly,Net Banking,23,799.0,5,0,1,26.2,3.8,0,9108.6
CUST10034,54,West,Standard,Annual,Credit Card,2,799.0,10,2,0,17.1,4.4,0,8629.2
CUST10035,24,East,Basic,Quarterly,UPI,12,499.0,0,2,1,19.7,2.9,0,5988.0
CUST10036,38,North,Standard,Quarterly,UPI,22,849.0,0,2,1,22.1,3.3,0,10188.0
CUST10037,26,South,Standard,Annual,Credit Card,37,849.0,5,0,0,15.7,4.2,0,9678.6
CUST10038,56,East,Standard,Quarterly,Credit Card,20,799.0,15,3,2,36.4,4.3,0,8149.8
CUST10039,35,East,Standard,Monthly,Net Banking,39,899.0,0,0,0,10.1,3.7,0,10788.0
CUST10040,21,South,Standard,Quarterly,Net Banking,24,849.0,0,2,0,22.5,3.9,0,10188.0
CUST10041,42,West,Premium,Monthly,UPI,48,1249.0,0,3,0,25.1,4.0,0,14988.0
CUST10042,31,South,Basic,Monthly,UPI,20,499.0,15,4,1,22.3,4.1,0,5089.8
CUST10043,26,South,Premium,Quarterly,Credit Card,1,1199.0,10,2,0,20.5,2.5,0,12949.2
CUST10044,43,North,Standard,Annual,UPI,1,899.0,0,2,1,19.0,5.0,0,10788.0
CUST10045,19,North,Basic,Annual,UPI,17,549.0,5,1,2,15.6,3.7,0,6258.599999999999
CUST10046,37,West,Basic,Monthly,Credit Card,1,499.0,5,4,2,15.4,4.2,1,5688.599999999999
CUST10047,45,East,Basic,Monthly,UPI,45,499.0,10,3,0,31.3,2.8,0,5389.2
CUST10048,24,South,Standard,Monthly,UPI,30,849.0,0,3,1,18.5,3.3,0,10188.0
CUST10049,25,West,Standard,Annual,Debit Card,41,849.0,15,2,1,39.1,3.8,0,8659.8
CUST10050,52,North,Standard,Annual,Net Banking,47,899.0,0,1,1,27.4,1.9,0,10788.0
CUST10051,31,South,Standard,Quarterly,Credit Card,3,799.0,10,3,1,2.0,2.7,0,8629.2
CUST10052,34,East,Standard,Annual,Debit Card,46,799.0,0,1,1,29.1,2.8,0,9588.0
CUST10053,53,North,Basic,Quarterly,Net Banking,11,499.0,5,0,1,21.6,2.3,0,5688.599999999999
CUST10054,57,North,Basic,Quarterly,Net Banking,24,499.0,5,3,0,10.9,3.6,0,5688.599999999999
CUST10055,21,North,Standard,Monthly,Net Banking,22,799.0,5,2,2,32.4,3.4,0,9108.6
CUST10056,19,West,Basic,Monthly,Debit Card,44,599.0,0,3,0,18.5,4.8,0,7188.0
CUST10057,23,East,Basic,Quarterly,Debit Card,45,499.0,10,3,0,17.8,2.5,0,5389.2
CUST10058,59,South,Standard,Quarterly,Net Banking,26,849.0,0,0,2,25.0,3.7,0,10188.0
CUST10059,21,West,Standard,Monthly,UPI,13,799.0,10,3,1,31.1,2.7,1,8629.2
CUST10060,46,West,Premium,Annual,UPI,1,1199.0,15,2,1,22.9,2.0,0,12229.8
CUST10061,35,West,Premium,Monthly,Debit Card,24,1199.0,5,2,0,22.3,4.0,0,13668.599999999999
CUST10062,43,North,Standard,Monthly,Debit Card,10,799.0,10,3,0,16.4,4.1,0,8629.2
CUST10063,51,East,Standard,Quarterly,Debit Card,35,849.0,10,1,0,31.0,4.0,0,9169.2
CUST10064,27,West,Standard,Quarterly,Net Banking,24,799.0,5,1,1,23.0,2.3,0,9108.6
CUST10065,53,South,Standard,Quarterly,UPI,28,799.0,15,2,0,20.2,3.6,0,8149.8
CUST10066,31,East,Basic,Monthly,Debit Card,36,499.0,0,1,0,19.2,4.0,0,5988.0
CUST10067,48,South,Standard,Monthly,Debit Card,16,799.0,5,0,0,30.2,4.4,0,9108.6
CUST10068,32,East,Premium,Quarterly,Credit Card,40,1249.0,10,2,2,19.9,4.1,0,13489.2
CUST10069,25,South,Standard,Quarterly,Net Banking,16,799.0,5,4,1,30.2,4.4,0,9108.6
CUST10070,31,North,Standard,Monthly,Credit Card,17,849.0,0,2,4,18.2,4.5,0,10188.0
CUST10071,40,West,Standard,Quarterly,UPI,15,849.0,5,0,1,27.8,3.6,0,9678.6
CUST10072,57,South,Basic,Monthly,Credit Card,16,499.0,15,1,0,23.7,3.9,0,5089.8
CUST10073,38,East,Basic,Quarterly,Credit Card,15,499.0,15,5,0,14.4,4.4,0,5089.8
CUST10074,33,West,Basic,Annual,Credit Card,34,549.0,5,4,0,21.3,3.9,0,6258.599999999999
CUST10075,35,West,Basic,Monthly,Net Banking,11,549.0,10,4,1,4.5,4.6,0,5929.2
CUST10076,41,East,Basic,Monthly,UPI,1,499.0,15,4,0,16.0,4.3,1,5089.8
CUST10077,43,South,Premium,Quarterly,Credit Card,15,1199.0,0,3,0,9.4,2.9,0,14388.0
CUST10078,42,North,Basic,Quarterly,Net Banking,26,499.0,0,2,0,38.0,2.3,0,5988.0
CUST10079,58,North,Standard,Quarterly,UPI,4,799.0,10,1,2,9.5,3.5,0,8629.2
CUST10080,46,South,Basic,Annual,Debit Card,43,499.0,15,1,1,42.7,2.4,0,5089.8
CUST10081,32,West,Premium,Annual,Credit Card,5,1199.0,15,1,0,26.1,3.6,0,12229.8
CUST10082,18,West,Basic,Annual,UPI,35,499.0,5,0,0,17.8,3.5,0,5688.599999999999
CUST10083,42,West,Standard,Monthly,Credit Card,13,799.0,0,1,1,28.5,4.7,0,9588.0
CUST10084,24,West,Premium,Monthly,Debit Card,10,1199.0,5,4,0,16.8,4.0,0,13668.599999999999
CUST10085,26,South,Premium,Monthly,UPI,11,1299.0,0,0,1,10.7,4.4,0,15588.0
CUST10086,41,West,Basic,Monthly,Net Banking,18,549.0,0,1,0,22.6,3.1,0,6588.0
CUST10087,18,East,Premium,Quarterly,UPI,34,1299.0,10,3,0,27.6,4.9,0,14029.2
CUST10088,25,West,Standard,Monthly,Net Banking,39,799.0,0,1,0,32.2,4.3,0,9588.0
CUST10089,41,North,Standard,Annual,UPI,41,849.0,15,2,0,26.0,3.9,0,8659.8
CUST10090,28,West,Basic,Quarterly,Net Banking,42,499.0,5,1,0,17.8,1.9,0,5688.599999999999
CUST10091,34,South,Basic,Quarterly,Debit Card,23,549.0,5,2,2,33.1,4.6,1,6258.599999999999
CUST10092,25,North,Standard,Monthly,Debit Card,7,799.0,0,3,1,31.3,5.0,0,9588.0
CUST10093,52,South,Standard,Monthly,Debit Card,39,799.0,5,1,0,24.2,3.5,0,9108.6
CUST10094,52,South,Standard,Monthly,UPI,3,899.0,0,5,0,31.7,3.5,0,10788.0
CUST10095,50,North,Standard,Monthly,Debit Card,12,849.0,20,5,1,39.5,3.0,0,8150.400000000001
CUST10096,22,South,Standard,Monthly,Credit Card,7,899.0,15,1,1,17.7,2.0,0,9169.8
CUST10097,59,South,Basic,Quarterly,Debit Card,26,499.0,5,0,1,14.8,3.0,0,5688.599999999999
CUST10098,56,West,Standard,Annual,Net Banking,33,799.0,0,1,1,17.4,5.0,0,9588.0
CUST10099,58,East,Basic,Annual,Net Banking,37,499.0,15,3,0,11.2,4.5,0,5089.8
CUST10100,45,South,Standard,Quarterly,Net Banking,48,849.0,5,1,1,26.7,2.8,0,9678.6
CUST10101,24,South,Standard,Monthly,UPI,15,849.0,0,0,0,9.1,3.0,0,10188.0
CUST10102,26,South,Premium,Annual,Credit Card,2,1299.0,5,3,0,32.1,5.0,0,14808.599999999999
CUST10103,25,West,Basic,Annual,Debit Card,41,499.0,20,2,0,16.6,2.6,0,4790.400000000001
CUST10104,29,East,Basic,Monthly,Credit Card,7,549.0,0,0,0,32.9,2.9,0,6588.0
CUST10105,51,North,Basic,Quarterly,Credit Card,32,499.0,0,0,0,2.0,3.1,0,5988.0
CUST10106,50,West,Basic,Monthly,Net Banking,4,499.0,15,1,2,18.9,2.3,1,5089.8
CUST10107,40,West,Basic,Annual,Net Banking,20,499.0,0,2,2,11.7,3.0,0,5988.0
CUST10108,41,East,Premium,Annual,Net Banking,36,1199.0,0,1,0,32.8,3.0,0,14388.0
CUST10109,54,East,Basic,Monthly,UPI,32,499.0,5,0,1,35.4,2.7,0,5688.599999999999
CUST10110,52,West,Basic,Annual,Credit Card,28,499.0,15,3,0,3.2,4.7,0,5089.8
CUST10111,57,North,Standard,Quarterly,Credit Card,13,799.0,5,0,1,28.9,2.4,0,9108.6
CUST10112,39,West,Standard,Annual,UPI,1,799.0,20,2,0,30.5,3.4,0,7670.400000000001
CUST10113,44,East,Standard,Monthly,UPI,35,799.0,10,1,0,24.6,2.7,0,8629.2
CUST10114,52,North,Basic,Annual,UPI,48,499.0,0,1,0,26.7,3.3,0,5988.0
CUST10115,18,East,Standard,Monthly,Credit Card,30,799.0,20,3,2,26.1,2.7,0,7670.400000000001
